Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,target
1,19.0,1.75,0,0,4,4,2.335,0,0,0,1,0,112,6,0
0,58.33,10.0,1,1,9,4,4.0,1,1,14,0,0,0,1602,1
0,19.67,0.21,1,1,9,1,0.29,1,1,11,0,0,80,99,1
0,18.75,7.5,1,1,9,4,2.71,1,1,5,0,0,0,26726,1
1,26.0,1.0,1,1,9,4,1.75,1,0,0,1,0,280,0,1
1,18.0,0.165,1,1,9,3,0.21,0,0,0,0,0,200,40,1
1,24.08,9.0,1,1,2,4,0.25,0,0,0,1,0,0,0,0
1,22.0,0.79,1,1,7,4,0.29,0,1,1,0,0,420,283,0
1,32.0,1.75,0,0,3,1,0.04,1,0,0,1,0,393,0,1
0,20.42,0.835,1,1,9,4,1.585,1,1,1,0,0,0,0,1
1,31.08,3.085,1,1,4,4,2.5,0,1,2,1,0,160,41,0
1,20.17,8.17,1,1,2,4,1.96,1,1,14,0,0,60,158,1
1,23.25,12.625,1,1,4,4,0.125,0,1,2,0,0,0,5552,0
1,18.83,0.0,1,1,9,4,0.665,0,0,0,0,0,160,1,0
1,34.42,1.335,1,1,1,0,0.125,0,0,0,1,0,440,4500,0
1,40.92,0.835,1,1,6,2,0.0,1,0,0,0,0,130,1,0
1,30.17,0.5,1,1,4,4,1.75,1,1,11,0,0,32,540,1
1,27.67,2.0,1,1,13,1,1.0,1,1,4,0,0,140,7544,1
0,28.75,3.75,1,1,4,4,1.085,1,1,1,1,0,371,0,1
1,47.33,6.5,1,1,4,4,1.0,0,0,0,1,0,0,228,0
1,29.5,0.58,1,1,7,4,0.29,0,1,1,0,0,340,2803,0
1,23.75,12.0,1,1,4,4,2.085,0,0,0,0,1,80,0,0
1,24.58,13.5,0,0,6,2,0.0,0,0,0,0,0,0,0,0
1,38.25,10.125,0,0,5,4,0.125,0,0,0,0,0,160,0,0
0,38.33,4.415,1,1,4,4,0.125,0,0,0,0,0,160,0,0
0,21.25,2.335,1,1,1,0,0.5,1,1,4,0,1,80,0,1
1,23.17,0.0,1,1,4,4,0.0,0,0,0,0,2,0,0,1
1,33.17,3.165,0,0,13,4,3.165,1,1,3,1,0,380,0,1
1,23.5,3.165,0,0,5,4,0.415,0,1,1,1,0,280,80,0
1,17.67,4.46,1,1,4,4,0.25,0,0,0,0,1,80,0,0
0,17.83,11.0,1,1,13,1,1.0,1,1,11,0,0,0,3000,1
0,16.0,0.165,1,1,2,4,1.0,0,1,2,1,0,320,1,0
1,33.17,1.04,1,1,12,1,6.5,1,0,0,1,0,164,31285,1
1,23.92,0.665,1,1,4,4,0.165,0,0,0,0,0,100,0,1
1,29.67,0.75,0,0,4,4,0.04,0,0,0,0,0,240,0,0
1,34.83,2.5,0,0,7,4,3.0,0,0,0,0,1,200,0,0
1,16.33,4.085,1,1,1,1,0.415,0,0,0,1,0,120,0,0
1,23.33,11.625,0,0,7,4,0.835,1,0,0,1,0,160,300,1
1,34.0,5.5,0,0,4,4,1.5,0,0,0,1,0,60,0,0
1,24.33,6.625,0,0,10,4,5.5,1,0,0,1,1,100,0,1
1,17.08,0.25,1,1,9,4,0.335,0,1,4,0,0,160,8,0
0,31.75,3.0,0,0,11,3,0.0,0,0,0,0,0,160,20,0
1,43.0,0.29,0,0,8,1,1.75,1,1,8,0,0,100,375,1
1,28.46,4.0,1,1,13,4,5.0,1,1,3,1,0,290,2279,1
1,21.42,0.75,0,0,12,3,0.75,0,0,0,1,0,132,2,0
0,23.25,5.875,1,1,9,4,3.17,1,1,10,0,0,120,245,1
0,21.92,11.665,1,1,5,1,0.085,0,0,0,0,0,320,5,0
0,56.83,4.25,0,0,6,2,5.0,0,0,0,1,0,0,4,0
0,25.0,12.33,1,1,8,1,3.5,1,1,6,0,0,400,458,1
1,47.67,2.5,1,1,0,0,2.5,1,1,12,1,0,410,2510,1
0,19.75,0.75,1,1,4,4,0.795,1,1,5,1,0,140,5,0
1,23.58,1.79,1,1,4,4,0.54,0,0,0,1,0,136,1,0
1,34.25,1.75,1,1,7,0,0.25,1,0,0,1,0,163,0,0
0,22.25,1.25,0,0,6,2,3.25,0,0,0,0,0,280,0,0
0,35.75,0.915,1,1,2,4,0.75,1,1,4,0,0,0,1583,1
0,23.75,0.71,1,1,7,4,0.25,0,1,1,1,0,240,4,0
1,34.17,5.25,1,1,7,4,0.085,0,0,0,1,0,290,6,1
1,17.42,6.5,1,1,1,4,0.125,0,0,0,0,0,60,100,0
1,40.58,1.5,1,1,1,0,0.0,0,0,0,0,1,300,0,0
0,57.08,0.335,1,1,1,0,1.0,1,0,0,1,0,252,2197,0
1,39.83,0.5,1,1,0,4,0.25,1,0,0,0,1,288,0,0
1,29.58,4.5,1,1,7,4,7.5,1,1,2,1,0,330,0,1
1,19.42,1.5,0,0,8,4,2.0,1,0,0,1,0,100,20,0
0,28.17,0.375,1,1,9,4,0.585,1,1,4,0,0,80,0,1
0,47.25,0.75,1,1,9,1,2.75,1,1,1,0,0,333,892,1
1,31.08,1.5,0,0,7,4,0.04,0,0,0,0,1,160,0,0
0,41.17,6.5,1,1,9,4,0.5,1,1,3,1,0,145,0,1
1,41.42,5.0,1,1,9,1,5.0,1,1,6,1,0,470,0,1
1,26.17,12.5,0,0,5,1,1.25,0,0,0,1,0,0,17,0
1,28.46,3.0,0,0,1,0,7.0,0,0,0,0,0,0,1,0
1,19.17,9.5,1,1,7,4,1.5,1,0,0,0,0,120,2206,1
1,49.17,2.29,1,1,6,2,0.29,0,0,0,0,0,200,3,0
0,57.58,2.0,1,1,6,2,6.5,0,1,1,0,0,0,10,0
1,37.33,6.5,1,1,0,1,4.25,1,1,12,1,0,93,0,1
1,32.75,1.5,1,1,8,1,5.5,1,1,3,1,0,0,0,1
1,38.17,10.125,1,1,13,4,2.5,1,1,6,0,0,520,196,1
1,23.08,11.5,1,1,7,1,2.125,1,1,11,1,0,290,284,1
1,18.17,10.25,1,1,4,1,1.085,0,0,0,0,0,320,13,0
1,26.17,0.25,1,1,1,0,0.0,1,0,0,1,0,0,0,1
1,26.5,2.71,0,0,4,4,0.085,0,0,0,0,1,80,0,0
1,27.0,0.75,1,1,4,1,4.25,1,1,3,1,0,312,150,1
1,17.08,0.085,0,0,4,4,0.04,0,0,0,0,0,140,722,0
0,30.67,12.0,1,1,4,4,2.0,1,1,1,0,0,220,19,1
1,65.42,11.0,1,1,3,3,20.0,1,1,7,1,0,22,0,1
1,40.58,5.0,1,1,4,4,5.0,1,1,7,0,0,0,3065,1
0,16.08,0.335,1,1,6,2,0.0,0,1,1,0,0,160,126,0
1,44.83,7.0,0,0,4,4,1.625,0,0,0,0,0,160,2,0
1,20.25,9.96,1,1,3,3,0.0,1,0,0,0,0,0,0,1
1,21.33,7.5,1,1,2,4,1.415,1,1,1,0,0,80,9800,1
1,29.5,2.0,0,0,3,1,2.0,0,0,0,0,0,256,17,0
1,17.58,10.0,1,1,7,1,0.165,0,1,1,0,0,120,1,0
0,23.58,11.5,0,0,5,1,3.0,0,0,0,1,0,20,16,0
1,28.25,5.04,0,0,4,0,1.5,1,1,8,1,0,144,7,1
1,23.58,0.46,0,0,7,4,2.625,1,1,6,1,0,208,347,0
0,25.0,0.875,1,1,13,1,1.04,1,0,0,1,0,160,5860,1
1,42.25,1.75,0,0,4,4,0.0,0,0,0,1,0,150,1,0
1,41.58,1.75,1,1,5,4,0.21,1,0,0,0,0,160,0,0
1,52.42,1.5,1,1,10,4,3.75,0,0,0,1,0,0,350,0
1,16.33,2.75,1,1,2,4,0.665,0,1,1,0,0,80,21,0
1,19.5,9.585,1,1,2,4,0.79,0,0,0,0,0,80,350,0
1,23.08,0.0,1,1,5,4,1.0,0,1,11,0,1,0,0,0
1,22.08,0.83,1,1,4,1,2.165,0,0,0,1,0,128,0,1
0,60.92,5.0,1,1,2,4,4.0,1,1,4,0,0,0,99,1
1,29.67,1.415,1,1,7,1,0.75,1,1,1,0,0,240,100,1
1,25.67,2.21,0,0,2,4,4.0,1,0,0,0,0,188,0,0
0,20.42,10.5,0,0,13,1,0.0,0,0,0,1,0,154,32,0
1,17.5,22.0,0,1,6,3,0.0,0,0,0,1,2,450,100000,1
0,17.92,0.54,1,1,4,4,1.75,0,1,1,1,0,80,5,0
1,33.67,2.165,1,1,4,4,1.5,0,0,0,0,2,120,0,0
0,28.58,3.54,1,1,1,0,0.5,1,0,0,1,0,171,0,0
1,22.67,0.165,1,1,4,3,2.25,0,0,0,1,1,0,0,1
0,22.5,8.5,1,1,9,4,1.75,1,1,10,0,0,80,990,0
1,31.25,2.835,1,1,6,2,0.0,0,1,5,0,0,176,146,0
1,28.92,0.375,1,1,4,4,0.29,0,0,0,0,0,220,140,0
1,23.0,0.625,0,0,2,4,0.125,1,0,0,0,0,180,1,0
0,44.33,0.0,1,1,4,4,2.5,1,0,0,0,0,0,0,1
1,33.67,1.25,1,1,7,4,1.165,0,0,0,0,0,120,0,0
1,37.33,2.665,1,1,8,4,0.165,0,0,0,1,0,0,501,0
1,25.67,12.5,1,1,8,4,1.21,1,1,67,1,0,140,258,1
1,32.42,3.0,1,1,10,4,0.165,0,0,0,1,0,120,0,0
1,54.33,6.75,1,1,4,1,2.625,1,1,11,1,0,0,284,1
0,21.08,5.0,0,0,6,2,0.0,0,0,0,0,0,0,0,0
0,27.58,3.0,1,1,0,4,2.79,0,1,1,1,0,280,10,0
0,71.58,0.0,1,1,4,4,0.0,0,0,0,0,2,0,0,1
1,22.75,11.5,1,1,1,4,0.415,0,0,0,0,0,0,0,0
0,15.83,0.585,1,1,4,1,1.5,1,1,2,0,0,100,0,1
1,21.17,0.875,0,0,4,1,0.25,0,0,0,0,0,280,204,0
1,34.5,4.04,0,0,1,0,8.5,1,1,7,1,0,195,0,1
1,19.33,9.5,1,1,9,4,1.0,1,0,0,1,0,60,400,1
0,23.42,0.79,0,0,9,4,1.5,1,1,2,1,0,80,400,1
1,22.17,0.585,0,0,6,2,0.0,0,0,0,0,0,100,0,0
1,31.67,0.83,1,1,13,4,1.335,1,1,8,1,0,303,3290,1
1,48.08,6.04,1,1,5,4,0.04,0,0,0,0,0,0,2690,1
0,20.5,11.835,1,1,4,1,6.0,1,0,0,0,0,340,0,1
1,34.75,2.5,1,1,8,0,0.5,0,0,0,0,0,348,0,0
1,28.67,14.5,1,1,10,4,0.125,0,0,0,0,0,0,286,0
0,24.92,1.25,1,1,6,2,0.0,1,0,0,0,0,80,0,0
1,22.75,11.0,1,1,9,4,2.5,1,1,7,1,0,100,809,1
1,48.58,6.5,1,1,9,1,6.0,1,0,0,1,0,350,0,1
0,34.83,1.25,0,0,1,1,0.5,0,0,0,1,0,160,0,0
0,20.67,3.0,1,1,9,4,0.165,1,1,3,0,0,100,6,1
0,24.08,0.5,1,1,9,1,1.25,1,1,1,0,0,0,678,1
1,33.58,0.335,0,0,8,4,0.085,0,0,0,0,0,180,0,0
1,39.17,1.625,1,1,4,4,1.5,1,1,10,0,0,186,4700,1
1,25.5,0.375,1,1,0,4,0.25,1,1,3,0,0,260,15108,1
1,51.42,0.04,1,1,13,1,0.04,1,0,0,0,0,0,3000,1
1,27.83,1.5,1,1,7,4,2.0,1,1,11,1,0,434,35,1
1,29.25,14.79,1,1,2,4,5.04,1,1,5,1,0,168,0,1
1,21.08,10.085,0,0,3,1,1.25,0,0,0,0,0,260,0,0
0,38.58,5.0,1,1,8,4,13.5,1,0,0,1,0,980,0,0
1,21.33,10.5,1,1,4,4,3.0,1,0,0,1,0,0,0,1
1,21.5,9.75,1,1,4,4,0.25,1,0,0,0,0,140,0,0
0,26.92,13.5,1,1,9,1,5.0,1,1,2,0,0,0,5000,1
1,29.75,0.665,1,1,7,4,0.25,0,0,0,1,0,300,0,0
1,34.17,2.75,1,1,1,0,2.5,0,0,0,1,0,232,200,0
0,23.58,0.83,1,1,9,4,0.415,0,1,1,1,0,200,11,0
1,34.0,4.5,1,1,2,4,1.0,1,0,0,1,0,240,0,0
1,40.58,3.29,1,1,0,4,3.5,0,0,0,1,1,400,0,0
1,34.17,9.17,1,1,4,4,4.5,1,1,12,1,0,0,221,1
1,54.42,0.5,0,0,5,1,3.96,1,0,0,0,0,180,314,1
0,39.08,4.0,1,1,4,4,3.0,0,0,0,0,0,480,0,0
1,25.0,11.25,1,1,4,4,2.5,1,1,17,0,0,200,1208,1
0,46.67,0.46,1,1,8,1,0.415,1,1,11,1,0,440,6,1
0,33.08,4.625,1,1,9,1,1.625,1,1,2,0,0,0,0,1
0,25.42,1.125,1,1,9,4,1.29,1,1,2,0,0,200,0,0
1,28.0,2.0,1,1,5,1,4.165,1,1,2,1,0,181,0,1
0,38.92,1.665,1,1,2,4,0.25,0,0,0,0,0,0,390,0
1,18.17,2.46,1,1,4,3,0.96,0,1,2,1,0,160,587,0
1,25.0,12.0,1,1,5,4,2.25,1,1,2,1,0,120,5,0
1,34.83,4.0,1,1,10,0,12.5,1,0,0,1,0,0,0,0
0,51.92,6.5,1,1,1,0,3.085,0,0,0,1,0,73,0,0
1,38.92,1.75,1,1,5,4,0.5,0,0,0,1,0,300,2,0
0,22.5,8.46,0,0,13,4,2.46,0,0,0,0,0,164,0,1
1,48.08,3.75,1,1,1,0,1.0,0,0,0,0,0,100,2,0
1,36.33,3.79,1,1,7,4,1.165,1,0,0,1,0,200,0,0
0,47.42,8.0,1,1,3,0,6.5,1,1,6,0,0,375,51100,1
1,41.17,1.25,0,0,7,4,0.25,0,0,0,0,0,0,195,0
0,55.75,7.08,1,1,5,1,6.75,1,1,3,1,0,100,50,0
1,32.33,2.5,1,1,4,4,1.25,0,0,0,1,0,280,0,0
0,15.92,2.875,1,1,9,4,0.085,0,0,0,0,0,120,0,0
1,21.25,1.5,1,1,7,4,1.5,0,0,0,0,0,150,8,1
1,38.67,0.21,1,1,5,4,0.085,1,0,0,1,0,280,0,1
1,39.5,1.625,1,1,4,4,1.5,0,0,0,0,0,0,316,0
1,18.83,3.54,0,0,6,2,0.0,0,0,0,1,0,180,1,0
1,39.92,6.21,1,1,9,4,0.04,1,1,1,0,0,200,300,1
1,45.33,1.0,1,1,9,4,0.125,0,0,0,1,0,263,0,0
1,18.08,5.5,1,1,5,4,0.5,1,0,0,0,0,80,0,1
1,35.58,0.75,1,1,5,4,1.5,0,0,0,1,0,231,0,0
1,42.5,4.915,0,0,7,4,3.165,1,0,0,1,0,52,1442,1
1,31.42,15.5,1,1,4,4,0.5,1,0,0,0,0,120,0,0
1,28.46,5.0,0,0,2,4,8.5,1,0,0,0,0,0,0,0
1,23.25,1.5,1,1,9,4,2.375,1,1,3,1,0,0,582,1
0,22.58,10.75,1,1,9,4,0.415,1,1,5,1,0,0,560,1
0,27.33,1.665,1,1,6,2,0.0,0,0,0,0,0,340,1,0
1,32.67,5.5,1,1,9,1,5.5,1,1,12,1,0,408,1000,1
1,27.58,3.25,0,0,9,1,5.085,0,1,2,1,0,369,1,0
1,29.92,1.835,1,1,4,1,4.335,1,0,0,0,0,260,200,1
0,26.58,2.54,0,0,6,2,0.0,0,0,0,1,0,180,60,0
1,37.58,0.0,1,1,4,4,0.0,0,0,0,0,2,0,0,1
0,36.75,4.71,1,1,6,2,0.0,0,0,0,0,0,160,0,0
1,18.33,1.21,0,0,3,3,0.0,0,0,0,0,0,100,0,0
1,32.25,1.5,1,1,4,4,0.25,0,0,0,1,0,372,122,0
0,25.33,2.085,1,1,4,1,2.75,1,0,0,1,0,360,1,0
1,36.25,5.0,1,1,4,0,2.5,1,1,6,0,0,0,367,1
0,27.67,2.04,1,1,7,4,0.25,0,0,0,1,0,180,50,0
0,20.83,8.5,1,1,4,4,0.165,0,0,0,0,0,0,351,0
1,18.08,6.75,0,0,0,4,0.04,0,0,0,0,0,140,0,0
0,17.92,10.21,1,1,6,2,0.0,0,0,0,0,0,0,50,0
0,30.5,6.5,1,1,4,0,4.0,1,1,7,1,0,0,3065,1
1,32.33,7.5,1,1,3,0,1.585,1,0,0,1,1,420,0,0
0,23.58,0.585,0,0,6,2,0.125,0,0,0,0,0,120,87,0
1,27.0,1.5,0,0,7,4,0.375,1,0,0,1,0,260,1065,1
0,27.17,1.25,1,1,6,2,0.0,0,1,1,0,0,92,300,0
1,17.08,3.29,1,1,1,4,0.335,0,0,0,1,0,140,2,0
1,29.83,3.5,1,1,4,4,0.165,0,0,0,0,0,216,0,0
1,16.0,3.125,1,1,7,4,0.085,0,1,1,0,0,0,6,0
1,23.5,2.75,1,1,6,2,4.5,0,0,0,0,0,160,25,0
0,26.08,8.665,1,1,2,4,1.415,1,0,0,0,0,160,150,1
0,45.0,4.585,1,1,5,1,1.0,0,0,0,1,1,240,0,0
1,25.58,0.335,1,1,5,1,3.5,0,0,0,1,0,340,0,0
0,28.58,3.75,1,1,4,4,0.25,0,1,1,1,0,40,154,0
1,31.83,2.5,1,1,2,4,7.5,1,0,0,1,0,523,0,0
1,32.08,4.0,0,0,8,4,1.5,0,0,0,1,0,120,0,0
1,39.92,5.0,1,1,1,0,0.21,0,0,0,0,0,550,0,0
1,22.17,2.25,1,1,1,4,0.125,0,0,0,0,0,160,10,0
1,34.08,6.5,1,1,2,4,0.125,1,0,0,1,0,443,0,0
1,25.0,12.5,1,1,2,4,3.0,1,0,0,1,1,20,0,1
1,21.83,0.25,1,1,10,1,0.665,1,0,0,1,0,0,0,1
1,45.0,8.5,1,1,8,1,14.0,1,1,1,1,0,88,2000,1
1,18.58,10.29,1,1,6,2,0.415,0,0,0,0,0,80,0,0
1,52.33,1.375,0,0,4,1,9.46,1,0,0,1,0,200,100,0
0,28.08,15.0,0,0,3,3,0.0,1,0,0,0,0,0,13212,1
1,43.25,25.21,1,1,9,1,0.21,1,1,1,0,0,760,90,0
1,39.08,6.0,1,1,0,4,1.29,1,1,5,1,0,108,1097,1
1,60.08,14.5,1,1,6,2,18.0,1,1,15,1,0,0,1000,1
1,25.75,0.5,1,1,4,4,1.46,1,1,5,1,0,312,0,1
1,26.33,13.0,1,1,3,3,0.0,0,0,0,1,0,140,1110,0
1,36.75,0.125,0,0,4,4,1.5,0,0,0,1,0,232,113,1
1,28.58,3.625,1,1,2,4,0.25,0,0,0,1,0,100,0,0
1,56.0,12.5,1,1,5,1,8.0,1,0,0,1,0,24,2028,1
1,62.75,7.0,1,1,3,3,0.0,0,0,0,0,0,0,12,0
0,30.0,5.29,1,1,3,3,2.25,1,1,5,1,0,99,500,1
0,33.25,2.5,0,0,4,4,2.5,0,0,0,1,0,0,2,0
1,43.17,2.25,1,1,1,0,0.75,1,0,0,0,0,560,0,0
0,41.58,1.04,1,1,2,4,0.665,0,0,0,0,0,240,237,0
0,23.5,9.0,1,1,9,4,8.5,1,1,5,1,0,120,0,1
1,51.83,2.04,0,0,6,2,1.5,0,0,0,0,0,120,1,0
1,48.17,3.5,1,1,2,4,3.5,1,0,0,0,1,230,0,1
1,37.75,7.0,1,1,9,1,11.5,1,1,7,1,0,300,5,0
1,25.75,0.75,1,1,4,0,0.25,1,0,0,0,0,349,23,1
1,28.25,5.125,1,1,13,4,4.75,1,1,2,0,0,420,7,1
1,25.25,1.0,1,1,2,4,0.5,0,0,0,0,0,200,0,0
0,32.17,1.46,1,1,7,4,1.085,1,1,16,0,0,120,2079,1
1,74.83,19.0,0,0,6,2,0.04,0,1,2,0,0,0,351,0
1,63.33,0.54,1,1,4,4,0.585,1,1,3,1,0,180,0,0
