fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,target
3,11,1,0,0.0,1
14,6,1,1,0.0,1
0,10,1,0,1.7,1
6,12,0,1,2.3,1
6,16,1,1,2.5,1
6,6,0,1,69.6,0
10,16,0,0,13.0,1
11,3,1,0,0.0,1
16,3,1,0,4.4,1
16,7,1,0,25.3,0
4,5,1,1,2.0,1
1,14,0,1,18.2,0
4,2,1,1,3.7,1
15,16,0,1,7.4,1
5,7,1,1,28.0,1
9,14,0,0,2.6,1
13,13,0,0,0.5,1
14,14,1,0,0.0,1
7,10,1,0,4.9,1
4,13,0,1,1.5,1
10,15,1,0,1.0,1
11,8,0,0,2.0,1
16,0,0,1,96.9,0
6,13,0,1,0.0,1
6,0,1,0,1.8,1
16,6,0,1,20.9,1
14,0,1,1,3.2,1
4,7,1,0,8.5,1
11,12,0,1,7.3,0
16,1,1,1,13.1,0
15,3,1,0,0.0,1
8,12,0,0,0.0,1
14,13,0,1,1.7,1
8,0,1,0,0.6,1
4,14,0,0,0.0,1
16,9,0,0,11.3,1
11,15,1,1,5.1,1
6,13,1,0,0.0,1
6,3,0,0,1.4,1
16,6,0,0,3.7,1
7,0,0,0,11.4,1
2,13,1,1,0.0,1
1,10,0,0,8.3,1
8,7,1,1,5.7,1
10,4,1,1,7.1,1
3,16,0,0,5.1,1
11,9,0,1,62.3,0
16,13,0,0,0.0,1
15,4,1,0,0.0,1
4,6,0,0,12.3,1
3,8,1,1,4.1,1
10,14,0,0,1.8,1
15,14,1,0,0.0,1
13,6,1,1,3.0,1
3,15,0,1,48.5,0
16,2,0,0,1.0,1
1,4,0,1,33.1,1
11,7,0,0,0.9,1
2,12,1,0,0.0,1
6,1,0,1,10.0,0
11,3,0,1,54.7,0
5,16,0,1,62.5,0
14,11,0,1,114.0,0
12,2,0,1,7.6,1
15,0,0,0,0.5,1
16,2,1,1,13.7,0
9,13,0,0,0.0,1
4,14,0,1,3.2,1
16,2,1,0,7.5,1
14,5,1,1,0.0,1
13,5,0,0,0.0,1
12,10,0,1,9.6,1
11,7,1,1,4.6,1
3,2,0,1,58.2,0
11,14,0,1,36.2,0
11,16,1,0,3.4,1
9,11,0,0,4.2,1
2,8,0,0,0.0,1
12,8,1,1,1.1,1
8,5,0,0,0.0,1
5,5,1,0,7.2,1
9,15,0,1,64.0,0
5,9,1,0,9.5,0
6,2,1,1,0.4,1
5,9,0,0,41.7,0
9,5,0,1,6.8,1
12,12,1,1,0.9,1
2,11,0,1,193.8,0
15,1,1,1,2.3,1
7,2,0,0,3.8,1
15,10,1,1,10.6,1
3,4,0,1,26.9,1
1,14,0,0,1.1,1
10,2,1,1,8.0,1
14,8,1,1,3.7,1
14,1,0,0,0.0,1
15,2,0,1,10.3,1
7,3,0,1,34.9,0
9,0,1,1,29.7,0
12,8,0,0,0.5,1
8,12,1,0,0.0,1
5,0,1,0,0.8,1
0,7,0,1,27.8,0
15,0,1,0,0.0,1
15,10,0,1,34.7,1
3,0,1,1,8.8,1
4,3,1,0,1.0,1
9,6,1,1,13.4,1
7,13,0,0,0.0,1
3,3,1,1,8.6,1
5,5,0,0,33.1,1
7,11,0,0,7.1,1
0,4,1,1,1.4,1
11,15,1,0,0.5,1
0,7,1,0,2.2,1
8,8,0,0,0.0,1
11,6,0,1,15.2,1
15,14,0,0,0.0,1
5,4,0,1,746.3,0
8,11,0,1,293.2,0
3,14,1,0,0.7,1
6,12,1,1,0.0,1
16,15,1,0,3.2,1
2,4,1,1,3.1,1
2,9,0,1,236.9,0
11,1,0,1,13.1,0
7,1,1,0,0.5,1
12,5,0,0,0.0,1
7,5,1,0,0.0,1
1,13,0,0,0.0,1
4,6,1,0,4.0,1
3,7,1,1,6.0,1
1,15,1,1,2.3,1
1,9,1,1,13.0,1
8,1,1,1,1.6,1
5,12,1,0,0.3,1
9,7,0,0,12.3,1
14,3,0,1,23.1,0
5,1,0,0,8.8,1
9,12,0,0,0.0,1
5,16,1,1,10.1,0
1,14,1,1,0.9,1
0,14,0,1,22.2,0
14,12,1,1,0.0,1
2,2,1,1,7.0,1
3,4,0,0,2.1,1
6,5,1,0,0.0,1
12,16,1,1,0.8,1
0,12,1,1,1.4,1
15,13,1,1,0.0,1
1,5,1,1,0.0,1
15,16,1,0,0.7,1
7,12,0,1,3.8,1
9,16,0,1,57.1,0
8,6,1,0,0.0,1
1,6,1,1,0.9,1
10,7,0,1,117.2,0
16,5,0,1,4.5,1
13,0,1,0,0.0,1
13,7,1,1,7.3,1
3,12,1,0,0.0,1
5,2,0,0,7.2,1
7,10,1,1,6.9,1
4,15,1,0,0.0,1
15,4,0,0,0.0,1
16,2,0,1,33.7,0
9,10,0,1,124.0,0
16,1,1,0,4.9,1
6,5,0,0,0.5,1
16,16,0,0,13.7,1
3,11,0,0,5.1,1
6,16,0,1,9.0,1
3,1,1,1,4.3,1
4,10,0,0,16.0,0
12,4,0,0,0.5,1
8,8,1,1,1.5,1
9,0,0,0,9.6,1
7,9,1,0,5.9,1
3,14,0,1,33.2,0
1,10,1,1,12.8,1
10,0,0,0,11.3,1
6,0,1,1,2.3,1
14,16,0,0,0.0,1
10,5,0,1,8.7,1
7,4,0,0,7.6,1
14,0,0,1,67.9,0
1,7,1,1,14.0,1
16,4,1,1,18.9,1
0,6,1,1,5.6,1
7,0,1,1,5.4,1
2,1,0,0,1.0,1
14,14,1,1,3.4,1
8,0,0,0,2.4,1
4,5,1,0,1.7,1
9,9,1,0,7.0,1
1,7,0,1,106.5,0
14,2,1,0,0.0,1
14,1,1,1,0.4,1
10,11,1,1,12.5,1
7,14,1,0,0.0,1
8,13,0,1,4.4,0
4,13,1,1,0.0,1
0,14,0,0,0.0,1
2,5,1,0,0.0,1
3,14,1,1,1.7,1
11,2,1,1,5.4,1
10,8,0,0,2.1,1
15,3,0,0,0.5,1
4,12,0,0,0.0,1
0,8,0,0,0.6,1
8,12,1,1,1.3,1
2,14,1,1,0.8,1
6,12,0,0,0.0,1
8,10,0,0,0.5,1
0,0,0,1,110.3,0
12,10,1,1,2.3,1
3,10,1,0,2.4,1
14,7,0,0,0.0,1
13,7,0,1,54.5,0
3,2,1,0,0.5,1
9,15,1,0,0.0,1
12,13,0,0,0.0,1
2,11,1,1,10.6,1
4,5,0,1,11.2,0
13,11,0,1,165.7,0
8,15,0,1,59.0,0
12,11,0,0,0.9,1
6,7,1,0,0.9,1
11,12,0,0,0.6,1
16,15,1,1,15.6,1
1,2,0,1,45.7,0
10,2,0,0,3.9,1
16,8,0,0,1.6,1
1,11,1,0,1.1,1
7,10,0,0,14.6,0
8,4,1,0,0.0,1
9,16,1,1,10.8,1
4,10,0,1,64.4,0
6,15,1,0,0.0,1
7,1,0,0,2.6,1
15,15,0,1,38.1,1
3,6,1,0,0.0,1
8,14,1,0,0.0,1
14,7,0,1,18.9,1
1,5,0,0,0.0,1
3,16,0,1,43.5,0
8,3,0,1,49.8,0
13,8,1,1,6.5,1
9,13,0,1,0.5,0
3,15,0,0,1.0,1
12,16,0,0,0.0,1
5,9,1,1,37.1,0
3,5,1,0,0.0,1
6,7,0,0,11.3,1
11,9,0,0,1.8,1
2,1,0,1,25.8,0
7,5,0,0,0.7,1
12,16,1,0,0.0,1
3,9,0,0,9.3,1
4,2,0,0,3.1,1
3,10,1,1,18.3,1
10,4,0,0,3.9,1
3,14,0,0,1.0,1
12,6,1,0,0.0,1
1,3,1,0,0.3,1
0,2,1,1,4.8,1
5,12,1,1,0.8,1
11,10,1,1,8.5,1
14,9,1,1,2.4,1
11,9,1,0,0.6,1
7,13,0,1,4.0,1
9,9,0,1,427.4,0
10,0,0,1,149.3,0
5,16,0,0,20.9,0
4,3,0,1,28.2,0
12,10,1,0,0.0,1
16,16,0,1,44.1,0
6,5,1,1,0.0,1
6,14,1,1,1.0,1
9,7,1,1,22.3,1
0,2,1,0,0.0,1
6,11,0,1,24.4,0
5,6,1,0,9.5,1
0,3,0,1,36.9,0
12,16,0,1,3.9,1
10,9,1,1,23.0,0
7,7,1,1,15.0,1
2,3,1,1,3.4,1
13,14,1,0,0.0,1
8,16,1,1,3.2,1
1,0,0,0,5.2,1
10,6,1,0,0.9,1
9,6,0,0,11.4,1
5,2,1,0,2.2,1
8,14,1,1,6.8,1
11,10,0,1,48.4,0
5,0,0,1,157.1,0
16,12,0,1,3.3,1
15,15,0,0,0.6,1
12,9,1,0,0.4,1
13,13,1,1,3.0,1
9,11,0,1,127.9,0
2,16,1,1,4.8,1
15,7,1,1,6.8,1
7,8,0,1,11.1,0
8,15,1,0,0.0,1
16,8,1,1,13.3,0
12,14,1,0,0.0,1
15,6,1,1,1.6,1
6,0,0,1,27.9,0
10,16,1,1,11.1,1
15,5,1,0,0.0,1
6,3,1,0,0.0,1
16,14,0,0,0.4,1
13,2,1,1,1.2,1
5,13,1,0,0.0,1
12,5,0,1,1.4,1
9,12,1,1,1.6,1
2,5,0,0,0.0,1
5,2,1,1,6.2,0
1,15,0,0,0.0,1
8,11,1,0,0.6,1
7,6,1,0,1.9,1
5,14,0,0,0.0,1
1,11,0,0,4.1,1
1,1,1,0,0.5,1
16,7,0,0,10.4,1
10,12,0,0,0.0,1
8,10,1,1,7.6,1
3,13,1,1,0.8,1
12,7,0,1,5.9,1
7,11,1,1,2.6,1
7,13,1,0,0.0,1
13,2,1,0,0.0,1
5,10,0,0,28.1,0
15,8,1,0,0.7,1
3,7,1,0,0.4,1
8,6,0,1,13.0,1
5,13,1,1,0.8,1
1,1,1,1,8.1,1
8,2,1,0,0.5,1
0,15,1,0,0.0,1
2,15,1,0,0.4,1
8,11,0,0,2.2,1
14,11,1,0,0.0,1
2,10,0,0,2.0,1
1,12,0,1,5.8,1
8,4,1,1,1.6,1
2,6,1,0,0.5,1
6,6,1,0,1.0,1
11,13,0,0,0.0,1
0,15,0,1,27.3,1
0,1,1,0,0.0,1
4,16,0,0,11.2,1
4,11,1,0,1.9,1
8,12,0,1,12.8,0
13,3,0,0,0.6,1
15,8,0,1,16.4,0
14,0,0,0,0.5,1
5,10,1,0,11.9,1
11,2,0,1,26.8,0
3,13,0,0,0.6,1
10,1,0,1,41.1,0
12,12,0,1,22.9,0
11,15,0,0,1.0,1
13,9,1,1,18.1,1
16,11,1,1,30.5,0
1,10,1,0,1.9,1
2,15,1,1,3.7,1
12,0,1,0,0.0,1
9,1,0,0,0.8,1
14,4,1,0,0.0,1
9,11,1,1,25.7,0
14,16,1,0,0.0,1
6,11,1,0,0.0,1
1,0,1,1,10.4,1
3,11,0,1,194.2,0
5,0,0,0,12.2,1
6,15,0,0,0.8,1
15,14,1,1,2.5,1
5,15,1,1,8.7,1
9,5,0,0,0.0,1
14,0,1,0,0.0,1
1,9,0,0,10.5,1
15,3,0,1,16.7,0
2,15,0,1,46.4,0
15,9,1,1,8.4,1
6,0,0,0,7.8,1
0,7,0,0,0.0,1
3,9,0,1,148.3,0
5,4,0,0,98.4,1
15,4,1,1,0.0,1
6,16,1,0,1.0,1
7,7,0,0,28.9,0
5,6,0,1,89.1,0
8,7,0,1,52.8,0
14,2,0,1,12.4,0
11,12,1,1,0.0,1
2,3,1,0,0.0,1
16,15,0,1,28.2,0
3,0,0,0,6.8,1
14,10,1,0,0.0,1
10,1,1,1,4.1,1
7,16,1,0,7.0,1
1,9,1,0,2.1,1
16,4,0,1,8.6,1
16,13,0,1,1.7,0
10,15,1,1,8.4,1
