checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
0,24.0,1,3,4736.0,2,2,2.0,0,2,4.0,0,25.0,0,1,1.0,3,1.0,0,1,0
0,24.0,1,0,2825.0,4,1,4.0,3,2,3.0,2,34.0,1,1,2.0,1,2.0,1,1,1
1,12.0,3,3,7865.0,2,3,4.0,3,2,4.0,2,53.0,1,0,1.0,0,1.0,1,1,0
1,24.0,2,4,4870.0,2,0,3.0,3,2,4.0,2,53.0,1,0,2.0,1,2.0,0,1,0
3,18.0,1,3,3780.0,2,2,3.0,1,2,2.0,0,35.0,1,1,2.0,0,1.0,1,1,1
0,18.0,1,3,6361.0,2,3,2.0,3,2,1.0,2,41.0,1,1,1.0,1,1.0,1,1,1
3,30.0,1,6,5771.0,2,1,4.0,0,2,2.0,0,25.0,1,1,2.0,1,1.0,0,1,1
3,24.0,3,3,3062.0,1,3,4.0,3,2,3.0,2,32.0,1,2,1.0,1,1.0,1,1,1
1,12.0,1,4,691.0,2,3,4.0,3,2,3.0,1,35.0,1,1,2.0,1,1.0,0,1,0
3,48.0,1,4,10127.0,1,0,2.0,3,2,2.0,2,44.0,0,0,1.0,1,1.0,0,1,0
1,42.0,1,7,3394.0,2,4,4.0,3,0,4.0,0,65.0,1,1,2.0,2,1.0,0,1,1
0,6.0,3,6,1068.0,2,3,4.0,3,2,4.0,0,28.0,1,1,1.0,1,2.0,0,1,1
2,6.0,3,3,2116.0,2,0,2.0,3,2,2.0,3,41.0,1,1,1.0,1,1.0,1,1,1
0,24.0,3,4,1201.0,2,2,4.0,3,2,1.0,1,26.0,1,1,1.0,1,1.0,0,1,1
3,48.0,1,2,6110.0,2,0,1.0,3,2,3.0,2,31.0,0,0,1.0,1,1.0,1,1,1
3,11.0,1,6,1154.0,0,4,4.0,0,2,4.0,3,57.0,1,1,3.0,3,1.0,0,1,1
0,9.0,0,9,5129.0,2,3,2.0,0,2,4.0,2,74.0,0,0,1.0,0,2.0,1,1,0
3,12.0,3,4,1101.0,2,0,3.0,2,2,2.0,3,27.0,1,1,2.0,1,1.0,1,1,1
0,48.0,4,0,12204.0,4,0,2.0,3,2,2.0,0,48.0,0,1,1.0,0,1.0,1,1,1
3,9.0,3,3,1313.0,2,3,1.0,3,2,4.0,0,20.0,1,1,1.0,1,1.0,0,1,1
1,6.0,3,2,448.0,2,2,4.0,0,2,4.0,1,23.0,1,1,1.0,1,1.0,0,1,0
0,36.0,3,9,9398.0,2,2,1.0,2,2,4.0,0,28.0,1,2,1.0,0,1.0,1,1,0
1,24.0,3,6,1987.0,2,0,2.0,3,2,4.0,3,21.0,1,2,1.0,3,2.0,0,1,0
3,12.0,1,3,1258.0,2,2,2.0,0,2,4.0,1,22.0,1,2,2.0,3,1.0,0,1,1
3,24.0,3,4,1393.0,2,0,2.0,3,1,2.0,3,31.0,1,1,1.0,1,1.0,1,1,1
1,18.0,1,3,2124.0,2,0,4.0,0,2,4.0,3,24.0,1,2,2.0,1,1.0,0,1,0
3,18.0,3,3,1984.0,2,0,4.0,3,2,4.0,2,47.0,0,0,2.0,1,1.0,0,1,1
3,18.0,3,6,1505.0,2,0,4.0,3,2,2.0,2,32.0,1,0,1.0,0,1.0,1,1,1
3,48.0,1,6,3578.0,4,3,4.0,3,2,1.0,3,47.0,1,1,1.0,1,1.0,1,1,1
1,36.0,1,3,5371.0,2,0,3.0,3,1,2.0,1,28.0,1,1,2.0,1,1.0,0,1,1
2,12.0,3,4,1330.0,2,2,4.0,3,2,1.0,3,26.0,1,1,1.0,1,1.0,0,1,1
3,12.0,3,6,1963.0,2,1,4.0,3,2,2.0,0,31.0,1,2,2.0,0,2.0,1,1,1
1,12.0,3,4,900.0,4,0,4.0,2,2,2.0,0,23.0,1,1,1.0,1,1.0,0,1,0
2,15.0,3,0,2687.0,2,1,2.0,3,2,4.0,1,26.0,1,2,1.0,1,1.0,1,1,1
3,24.0,1,6,5103.0,2,2,3.0,2,2,3.0,2,47.0,1,0,3.0,1,1.0,1,1,1
0,48.0,0,0,3566.0,0,1,4.0,3,2,2.0,0,30.0,1,1,1.0,1,1.0,0,1,1
1,36.0,3,3,3959.0,2,4,4.0,3,2,3.0,1,30.0,1,1,1.0,0,1.0,1,1,1
3,15.0,3,4,5324.0,1,3,1.0,0,2,4.0,2,35.0,1,0,1.0,1,1.0,0,1,1
3,6.0,1,6,1898.0,4,0,1.0,3,2,2.0,3,34.0,1,1,2.0,3,2.0,0,1,1
2,24.0,1,0,1275.0,3,0,2.0,1,2,4.0,3,36.0,1,1,2.0,1,1.0,1,1,1
1,21.0,3,6,3357.0,3,2,4.0,0,2,2.0,0,29.0,0,1,1.0,1,1.0,0,1,1
3,24.0,1,9,6842.0,4,0,2.0,3,2,4.0,1,46.0,1,1,2.0,0,2.0,1,1,1
1,12.0,3,1,741.0,0,4,4.0,0,2,3.0,1,22.0,1,1,1.0,1,1.0,0,1,0
3,39.0,3,9,2569.0,1,0,4.0,3,2,4.0,0,24.0,1,1,1.0,1,1.0,0,1,1
0,9.0,3,6,790.0,1,0,4.0,0,2,3.0,3,66.0,1,1,1.0,3,1.0,0,1,1
0,48.0,3,5,5381.0,4,4,3.0,3,2,4.0,2,40.0,0,0,1.0,2,1.0,1,1,1
2,18.0,3,3,2864.0,2,0,2.0,3,2,1.0,3,34.0,1,1,1.0,3,2.0,0,1,0
3,24.0,3,8,937.0,2,2,4.0,2,2,3.0,0,27.0,1,1,2.0,3,1.0,0,1,1
3,24.0,3,4,2255.0,4,2,4.0,3,2,1.0,1,54.0,1,1,1.0,1,1.0,0,1,1
1,30.0,3,3,2406.0,2,1,4.0,0,2,4.0,3,23.0,1,2,1.0,1,1.0,0,1,0
3,15.0,3,1,874.0,4,2,4.0,0,2,1.0,3,24.0,1,1,1.0,1,1.0,0,1,1
1,12.0,3,3,1289.0,2,0,4.0,3,1,1.0,1,21.0,1,1,1.0,3,1.0,0,1,1
3,12.0,1,3,5801.0,4,3,2.0,3,2,4.0,1,49.0,1,2,1.0,1,1.0,1,1,1
1,18.0,3,3,4153.0,2,0,2.0,3,0,3.0,0,42.0,1,1,1.0,1,1.0,0,1,0
0,15.0,0,4,6850.0,0,4,1.0,3,2,2.0,1,34.0,1,1,1.0,0,2.0,1,1,0
1,12.0,3,3,2577.0,2,0,2.0,1,2,1.0,0,42.0,1,1,1.0,1,1.0,0,1,1
3,36.0,1,6,9566.0,2,0,2.0,0,2,2.0,0,31.0,2,1,2.0,1,1.0,0,1,1
1,24.0,3,3,7721.0,4,2,1.0,0,2,2.0,1,30.0,1,1,1.0,1,1.0,1,0,1
3,60.0,3,6,10144.0,0,1,2.0,0,2,4.0,3,21.0,1,1,1.0,1,1.0,1,1,1
3,36.0,2,6,4454.0,2,0,4.0,0,2,4.0,3,34.0,1,1,2.0,1,1.0,0,1,1
3,12.0,3,4,2390.0,4,3,4.0,3,2,3.0,0,50.0,1,1,1.0,1,1.0,1,1,1
3,12.0,3,4,640.0,2,0,4.0,1,2,2.0,3,49.0,1,1,1.0,3,1.0,0,1,1
2,15.0,3,2,392.0,2,2,4.0,0,2,4.0,1,23.0,1,2,1.0,1,1.0,1,1,1
1,11.0,1,4,3939.0,2,0,1.0,3,2,2.0,3,40.0,1,1,2.0,3,2.0,0,1,1
3,15.0,0,6,1569.0,0,3,4.0,3,2,4.0,0,34.0,0,1,1.0,3,2.0,0,1,1
0,21.0,3,0,2767.0,0,3,4.0,1,2,2.0,0,61.0,0,2,2.0,3,1.0,0,1,0
3,12.0,2,7,1555.0,3,3,4.0,3,2,4.0,2,55.0,1,0,2.0,1,2.0,0,1,0
0,12.0,3,6,1092.0,2,0,4.0,0,1,4.0,3,49.0,1,1,2.0,1,1.0,1,1,1
0,45.0,3,6,3031.0,0,0,4.0,3,1,4.0,1,21.0,1,2,1.0,1,1.0,0,1,0
1,18.0,3,6,3509.0,2,1,4.0,0,1,1.0,3,25.0,1,1,1.0,1,1.0,0,1,1
3,36.0,2,3,7678.0,1,1,2.0,0,2,4.0,0,40.0,1,1,2.0,1,1.0,1,1,1
0,30.0,1,4,2181.0,4,3,4.0,3,2,4.0,3,36.0,1,1,2.0,1,1.0,0,1,1
3,36.0,1,0,6304.0,4,3,4.0,3,2,4.0,3,36.0,1,1,2.0,1,1.0,0,1,1
1,12.0,3,2,684.0,2,0,4.0,3,2,4.0,0,40.0,1,2,1.0,3,2.0,0,1,0
3,21.0,4,4,5003.0,4,0,1.0,0,2,4.0,1,29.0,0,1,2.0,1,1.0,1,1,0
3,36.0,4,7,2613.0,2,0,4.0,3,2,2.0,0,27.0,1,1,2.0,1,1.0,0,1,1
3,36.0,3,2,1819.0,2,0,4.0,3,2,4.0,2,37.0,2,0,1.0,1,1.0,1,1,0
0,6.0,3,4,14555.0,4,4,1.0,3,2,2.0,1,23.0,1,1,1.0,2,1.0,1,1,0
3,12.0,3,6,3059.0,3,1,2.0,1,2,4.0,3,61.0,1,1,1.0,3,1.0,0,1,1
3,7.0,1,6,730.0,4,3,4.0,3,2,2.0,1,46.0,1,2,2.0,3,1.0,1,1,1
0,60.0,2,6,9157.0,4,0,2.0,3,2,2.0,2,27.0,1,0,1.0,0,1.0,0,1,1
0,12.0,3,6,625.0,2,2,4.0,2,1,1.0,3,26.0,0,1,1.0,3,1.0,0,1,1
2,12.0,3,6,3399.0,4,3,2.0,3,2,3.0,0,37.0,1,1,1.0,0,1.0,0,1,1
3,12.0,3,0,1542.0,2,1,2.0,3,2,4.0,0,36.0,1,1,1.0,1,1.0,1,1,1
1,14.0,3,4,3973.0,2,4,1.0,3,2,4.0,2,22.0,1,0,1.0,1,1.0,0,1,1
0,9.0,1,6,1154.0,2,3,2.0,3,2,4.0,3,37.0,1,1,3.0,3,1.0,0,1,1
1,36.0,3,3,3620.0,2,0,1.0,3,1,2.0,1,37.0,1,1,1.0,1,2.0,0,1,1
2,15.0,3,2,1905.0,2,3,4.0,3,2,4.0,0,40.0,1,2,1.0,0,1.0,1,1,1
1,24.0,1,0,1382.0,0,1,4.0,3,2,1.0,3,26.0,1,1,2.0,1,1.0,1,1,1
3,24.0,3,6,1311.0,0,1,4.0,2,2,3.0,1,26.0,1,1,1.0,1,1.0,1,1,1
1,45.0,3,6,1845.0,2,0,4.0,3,2,4.0,2,23.0,1,0,1.0,1,1.0,1,1,0
0,12.0,3,4,1295.0,2,2,3.0,0,2,1.0,0,25.0,1,2,1.0,1,1.0,0,1,0
3,24.0,3,6,2397.0,1,3,3.0,3,2,2.0,0,35.0,0,1,2.0,1,1.0,1,1,0
3,12.0,1,6,1291.0,2,0,4.0,0,2,2.0,1,35.0,1,1,2.0,1,1.0,0,1,1
3,39.0,3,9,8588.0,0,3,4.0,3,2,2.0,0,45.0,1,1,1.0,0,1.0,1,1,1
0,12.0,1,4,2366.0,1,1,3.0,1,2,3.0,0,36.0,1,1,1.0,0,1.0,1,1,1
1,24.0,0,3,3349.0,1,2,4.0,3,2,4.0,2,30.0,1,0,1.0,1,2.0,1,1,0
3,15.0,3,9,3029.0,2,1,2.0,3,2,2.0,0,33.0,1,1,1.0,1,1.0,0,1,1
3,36.0,3,4,3079.0,4,0,4.0,3,2,4.0,3,36.0,1,1,1.0,1,1.0,0,1,1
1,18.0,3,3,2462.0,2,0,2.0,3,2,2.0,0,22.0,1,1,1.0,1,1.0,0,1,0
1,24.0,1,9,6419.0,2,3,2.0,0,2,4.0,2,44.0,1,0,2.0,0,2.0,1,1,1
3,6.0,0,4,783.0,4,0,1.0,3,1,2.0,3,26.0,2,1,1.0,3,2.0,0,1,1
1,12.0,1,4,2171.0,2,0,4.0,3,2,4.0,1,38.0,0,1,2.0,3,1.0,0,0,1
1,39.0,1,3,14179.0,4,1,4.0,3,2,4.0,1,30.0,1,1,2.0,0,1.0,1,1,1
0,24.0,3,5,11328.0,2,0,2.0,3,0,3.0,0,29.0,0,1,2.0,0,1.0,1,1,0
3,24.0,3,9,3488.0,0,1,3.0,0,2,4.0,0,23.0,1,1,1.0,1,1.0,0,1,1
0,24.0,2,6,6403.0,2,2,1.0,3,2,2.0,0,33.0,1,1,1.0,1,1.0,0,1,1
3,6.0,3,6,518.0,2,0,3.0,0,2,1.0,3,29.0,1,1,1.0,1,1.0,0,1,1
1,6.0,3,3,428.0,2,3,2.0,0,2,1.0,1,49.0,0,1,1.0,1,1.0,1,1,1
0,20.0,2,5,2629.0,2,0,2.0,3,2,3.0,0,29.0,0,1,2.0,1,1.0,1,1,1
3,6.0,1,4,362.0,0,0,4.0,0,2,4.0,0,52.0,1,1,2.0,3,1.0,0,1,1
1,40.0,1,2,5998.0,2,0,4.0,3,2,3.0,2,27.0,0,1,1.0,1,1.0,1,1,0
0,24.0,1,5,11938.0,2,0,2.0,3,0,3.0,0,39.0,1,1,2.0,0,2.0,1,1,0
3,12.0,1,6,976.0,4,3,4.0,3,2,4.0,0,35.0,1,1,2.0,1,1.0,0,1,1
1,36.0,3,9,8229.0,2,0,2.0,3,2,2.0,1,26.0,1,1,1.0,1,2.0,0,1,0
2,12.0,3,3,1424.0,4,3,3.0,0,2,4.0,3,55.0,1,1,1.0,0,1.0,1,1,1
3,24.0,3,6,3430.0,1,3,3.0,3,2,2.0,0,31.0,1,1,1.0,1,2.0,1,1,1
1,18.0,0,4,1442.0,2,1,4.0,3,2,4.0,2,32.0,1,0,2.0,3,2.0,0,1,0
3,12.0,3,3,1574.0,2,0,4.0,3,2,2.0,3,50.0,1,1,1.0,1,1.0,0,1,1
2,6.0,1,4,1343.0,2,3,1.0,3,2,4.0,3,46.0,1,1,2.0,1,2.0,0,0,1
3,24.0,3,6,999.0,4,3,4.0,3,2,2.0,0,25.0,1,1,2.0,1,1.0,0,1,1
0,12.0,3,6,1484.0,4,0,2.0,2,2,1.0,3,25.0,1,1,1.0,1,1.0,1,1,0
1,10.0,1,4,1038.0,2,1,4.0,3,0,3.0,1,49.0,1,1,2.0,1,1.0,1,1,1
0,18.0,3,7,3872.0,2,4,2.0,0,2,4.0,0,67.0,1,1,1.0,1,1.0,1,1,1
1,48.0,0,0,7685.0,2,1,2.0,0,1,4.0,0,37.0,1,2,1.0,1,1.0,0,1,0
3,24.0,1,9,2346.0,2,1,4.0,3,2,3.0,0,35.0,1,1,2.0,1,1.0,1,1,1
3,33.0,1,9,7253.0,2,1,3.0,3,2,2.0,0,35.0,1,1,2.0,0,1.0,1,1,1
3,10.0,1,3,2069.0,4,0,2.0,2,2,1.0,0,26.0,1,1,2.0,1,1.0,0,0,1
2,24.0,3,3,2892.0,2,3,3.0,1,2,4.0,2,51.0,1,0,1.0,1,1.0,0,1,1
3,7.0,2,6,846.0,4,3,3.0,3,2,4.0,2,36.0,1,0,1.0,1,1.0,0,1,1
1,10.0,3,6,2315.0,2,3,3.0,3,2,4.0,3,52.0,1,1,1.0,3,1.0,0,1,1
0,12.0,3,4,888.0,2,3,4.0,3,2,4.0,0,41.0,0,1,1.0,3,2.0,0,1,0
3,12.0,3,6,1262.0,2,0,3.0,3,2,2.0,0,25.0,1,1,1.0,1,1.0,0,1,1
1,6.0,1,6,1957.0,2,1,1.0,0,2,4.0,0,31.0,1,1,1.0,1,1.0,0,1,1
3,12.0,3,3,1736.0,2,1,3.0,0,2,4.0,3,31.0,1,1,1.0,3,1.0,0,1,1
2,12.0,3,3,2251.0,2,0,1.0,0,2,2.0,0,46.0,1,1,1.0,3,1.0,0,1,1
1,36.0,0,3,2746.0,2,3,4.0,3,2,4.0,0,31.0,0,1,1.0,1,1.0,0,1,0
3,42.0,1,3,4042.0,1,0,4.0,3,2,4.0,3,36.0,1,1,2.0,1,1.0,1,1,1
0,18.0,4,3,3244.0,2,0,1.0,0,2,4.0,0,33.0,0,1,2.0,1,1.0,1,1,1
0,16.0,1,4,1175.0,2,4,2.0,3,2,3.0,0,68.0,1,0,3.0,2,1.0,1,1,1
1,24.0,0,3,2828.0,1,0,4.0,3,2,4.0,3,22.0,2,1,1.0,1,1.0,1,1,1
1,24.0,3,4,1442.0,2,1,4.0,0,2,4.0,0,23.0,1,2,2.0,1,1.0,0,1,0
3,42.0,3,6,7166.0,4,1,2.0,2,2,4.0,1,29.0,1,2,1.0,1,1.0,1,1,1
0,12.0,3,3,983.0,3,2,1.0,0,2,4.0,3,19.0,1,2,1.0,3,1.0,0,1,1
1,24.0,0,4,2325.0,0,1,2.0,3,2,3.0,0,32.0,0,1,1.0,1,1.0,0,1,1
1,9.0,1,4,2799.0,2,0,2.0,3,2,2.0,3,36.0,1,2,2.0,1,2.0,0,1,1
3,21.0,1,9,3275.0,2,3,1.0,3,2,4.0,0,36.0,1,1,1.0,0,1.0,1,1,1
3,6.0,3,9,1236.0,1,0,2.0,3,2,4.0,1,50.0,1,2,1.0,1,1.0,0,1,1
3,24.0,0,0,1559.0,2,1,4.0,3,2,4.0,0,50.0,0,1,1.0,1,1.0,1,1,1
1,6.0,3,4,14896.0,2,3,1.0,3,2,4.0,2,68.0,0,1,1.0,0,1.0,1,1,0
3,12.0,3,6,2073.0,0,0,4.0,0,0,2.0,3,28.0,1,1,1.0,1,1.0,0,1,1
3,12.0,3,6,2171.0,2,2,2.0,0,2,2.0,0,29.0,0,1,1.0,1,1.0,0,1,1
2,21.0,1,2,2319.0,2,2,2.0,1,2,1.0,0,33.0,1,2,1.0,1,1.0,0,1,0
3,6.0,4,4,1204.0,0,0,4.0,3,2,1.0,2,35.0,0,2,1.0,1,1.0,0,0,1
3,12.0,3,6,1493.0,2,2,4.0,0,2,3.0,0,34.0,1,1,1.0,1,2.0,0,1,1
0,12.0,3,6,766.0,1,0,4.0,3,2,3.0,3,66.0,1,1,1.0,3,1.0,0,1,0
3,30.0,3,6,1867.0,4,3,4.0,3,2,4.0,0,58.0,1,1,1.0,1,1.0,1,1,1
1,18.0,2,2,8471.0,4,0,1.0,0,2,2.0,0,23.0,1,2,2.0,1,1.0,1,1,1
3,30.0,1,9,7596.0,4,3,1.0,3,2,4.0,0,63.0,1,1,2.0,1,1.0,0,1,1
1,18.0,3,3,2473.0,2,4,4.0,3,2,1.0,0,25.0,1,1,1.0,2,1.0,0,1,0
2,18.0,0,6,1445.0,4,1,4.0,3,2,4.0,0,49.0,0,1,1.0,3,1.0,0,1,1
3,6.0,1,6,1740.0,2,3,2.0,2,2,2.0,3,30.0,1,2,2.0,1,1.0,0,1,1
1,10.0,1,3,2132.0,4,2,2.0,0,0,3.0,3,27.0,1,2,2.0,1,1.0,0,0,1
0,10.0,3,4,7308.0,2,4,2.0,3,2,4.0,2,70.0,0,0,1.0,0,1.0,1,1,1
3,15.0,2,9,3594.0,2,2,1.0,0,2,2.0,1,46.0,1,1,2.0,3,1.0,0,1,1
0,24.0,3,9,11560.0,2,0,1.0,0,2,4.0,0,23.0,1,2,2.0,0,1.0,0,1,0
1,12.0,1,4,4843.0,2,3,3.0,3,0,4.0,1,43.0,1,2,2.0,1,1.0,1,1,0
1,24.0,3,4,1381.0,4,0,4.0,0,2,2.0,1,35.0,1,1,1.0,1,1.0,0,1,0
2,10.0,1,4,781.0,2,3,4.0,3,2,4.0,2,63.0,1,0,2.0,1,1.0,1,1,1
3,36.0,2,9,8947.0,4,1,3.0,3,2,2.0,0,31.0,2,1,1.0,0,2.0,1,1,1
0,18.0,1,3,1295.0,2,2,4.0,0,2,1.0,1,27.0,1,1,2.0,1,1.0,0,1,1
3,24.0,3,3,2835.0,1,3,3.0,3,2,4.0,1,53.0,1,1,1.0,1,1.0,0,1,1
3,24.0,2,3,4151.0,0,0,2.0,3,2,3.0,1,35.0,1,1,2.0,1,1.0,0,1,1
0,8.0,3,6,1414.0,2,0,4.0,3,1,2.0,3,33.0,1,1,1.0,1,1.0,0,0,1
3,6.0,1,6,1237.0,0,0,1.0,0,2,1.0,1,27.0,1,1,2.0,1,1.0,0,1,1
3,24.0,2,9,4679.0,2,1,3.0,3,2,3.0,0,35.0,1,1,2.0,3,1.0,1,1,1
1,12.0,0,6,2149.0,2,0,4.0,1,2,1.0,2,29.0,1,0,1.0,1,1.0,0,1,0
1,21.0,2,2,3414.0,2,2,2.0,3,2,1.0,1,26.0,1,1,2.0,1,1.0,0,1,0
2,12.0,1,4,1480.0,1,4,2.0,3,2,4.0,2,66.0,0,0,3.0,2,1.0,0,1,1
3,11.0,3,0,2142.0,3,3,1.0,1,2,2.0,3,28.0,1,1,1.0,1,1.0,1,1,1
0,9.0,3,2,1199.0,2,1,4.0,0,2,4.0,1,67.0,1,1,2.0,0,1.0,1,1,1
1,24.0,2,4,1333.0,2,4,4.0,3,2,2.0,3,43.0,1,0,2.0,1,2.0,0,1,0
3,15.0,1,3,1520.0,4,3,4.0,3,2,4.0,1,63.0,1,1,1.0,1,1.0,0,1,1
0,42.0,1,0,5954.0,2,1,2.0,0,2,1.0,3,41.0,0,1,2.0,3,1.0,0,1,1
3,4.0,1,4,1455.0,2,1,2.0,3,2,1.0,3,42.0,1,1,3.0,3,2.0,0,1,1
3,24.0,3,3,929.0,4,1,4.0,3,2,2.0,0,31.0,2,1,1.0,1,1.0,1,1,1
3,24.0,3,6,1552.0,2,1,3.0,3,2,1.0,0,32.0,0,1,1.0,1,2.0,0,1,1
1,24.0,3,9,2964.0,4,3,4.0,3,2,4.0,2,49.0,0,0,1.0,1,2.0,1,1,1
1,24.0,3,6,1282.0,0,0,4.0,0,2,2.0,0,32.0,1,1,1.0,3,1.0,0,1,0
2,36.0,3,6,3913.0,2,0,2.0,3,2,2.0,3,23.0,1,1,1.0,1,1.0,1,1,1
0,24.0,3,4,1355.0,2,2,3.0,0,2,4.0,0,25.0,1,1,1.0,3,1.0,1,1,0
0,18.0,3,9,2779.0,2,0,1.0,2,2,3.0,0,21.0,1,2,1.0,1,1.0,1,1,1
