SpMax_L,J_Dz(e),nHM,F01[N-N],F04[C-N],NssssC,nCb-,C%,nCp,nO,F03[C-N],SdssC,HyWi_B(m),LOC,SM6_L,F03[C-O],Me,Mi,nN-N,nArNO2,nCRX3,SpPosA_B(p),nCIR,B01[C-Br],B03[C-Cl],N-073,SpMax_A,Psi_i_1d,B04[C-Br],SdO,TI2_L,nCrt,C-026,F02[C-N],nHDon,SpMax_B(m),Psi_i_A,nN,SM6_B(m),nArCOOR,nX,target
5.328,5.8726,7.0,0.0,0.0,0.0,0.0,25.7,6.0,4.0,0.0,0.0,4.34,2.088,10.678,9.0,1.056,1.137,0.0,0.0,0.0,1.225,0.0,0.0,1.0,0.0,2.34,0.0,0.0,12.579,2.507,0.0,0.0,0.0,0.0,4.429,2.799,0.0,9.905,0.0,6.0,0
4.347,3.0603,0.0,0.0,0.0,0.0,0.0,31.0,1.0,2.0,0.0,-0.082,3.192,2.3,9.338,3.0,0.986,1.143,0.0,0.0,0.0,1.167,0.0,0.0,0.0,0.0,2.011,0.013,0.0,10.622,4.098,0.0,0.0,0.0,0.0,3.357,2.288,0.0,7.732,0.0,0.0,0
5.372,2.8994,1.0,0.0,3.0,0.0,1.0,34.5,1.0,2.0,3.0,0.0,3.649,2.108,10.403,6.0,1.001,1.129,0.0,0.0,0.0,1.249,1.0,0.0,0.0,0.0,2.327,0.001,0.0,23.192,3.163,0.0,1.0,2.0,1.0,4.705,2.542,1.0,9.481,0.0,0.0,0
4.691,4.7731,0.0,0.0,4.0,0.0,0.0,26.9,4.0,4.0,4.0,0.0,3.786,2.122,10.467,0.0,0.996,1.155,0.0,0.0,0.0,1.142,0.0,0.0,0.0,0.0,2.211,0.0,0.0,0.0,3.997,0.0,0.0,6.0,4.0,3.321,2.517,2.0,8.334,0.0,0.0,0
4.303,3.3382,0.0,0.0,0.0,0.0,0.0,33.3,1.0,0.0,0.0,0.0,2.741,0.862,9.067,0.0,0.998,1.152,0.0,0.0,0.0,1.289,1.0,0.0,0.0,1.0,2.115,0.137,0.0,0.0,0.956,0.0,0.0,4.0,1.0,3.627,2.194,2.0,7.794,0.0,0.0,0
4.642,3.0034,0.0,0.0,0.0,0.0,2.0,42.1,1.0,1.0,0.0,0.0,3.093,1.187,9.631,2.0,0.987,1.12,0.0,0.0,0.0,1.256,1.0,0.0,0.0,0.0,2.2,-0.024,0.0,0.0,1.487,0.0,1.0,0.0,1.0,3.639,2.315,0.0,8.009,0.0,0.0,1
5.014,2.7382,0.0,0.0,0.0,0.0,4.0,57.1,0.0,1.0,0.0,0.0,3.556,0.0,10.384,4.0,0.993,1.089,0.0,0.0,0.0,1.356,6.0,0.0,0.0,0.0,2.469,-0.001,0.0,0.0,1.305,0.0,0.0,0.0,0.0,4.066,2.013,0.0,8.83,0.0,0.0,0
3.902,2.906,0.0,0.0,4.0,0.0,0.0,21.4,2.0,0.0,0.0,0.0,3.063,2.322,8.881,0.0,0.985,1.175,0.0,0.0,0.0,1.104,0.0,0.0,0.0,0.0,1.919,-0.024,0.0,0.0,4.086,0.0,0.0,6.0,6.0,2.995,2.2,4.0,7.275,0.0,0.0,0
4.562,1.8929,0.0,0.0,6.0,0.0,0.0,35.1,0.0,0.0,6.0,0.0,3.526,0.0,10.054,0.0,0.974,1.139,0.0,0.0,0.0,1.209,2.0,0.0,0.0,0.0,2.194,0.0,0.0,0.0,4.13,0.0,0.0,4.0,0.0,3.489,1.744,2.0,8.179,0.0,0.0,0
5.511,2.626,3.0,0.0,0.0,0.0,4.0,48.0,0.0,2.0,0.0,0.0,4.046,0.732,10.806,8.0,1.032,1.092,0.0,0.0,0.0,1.347,2.0,0.0,1.0,0.0,2.42,0.0,0.0,24.34,2.731,0.0,4.0,0.0,0.0,4.738,2.694,0.0,9.875,0.0,2.0,0
4.912,3.3884,2.0,0.0,0.0,0.0,3.0,46.7,1.0,0.0,0.0,0.0,3.444,0.881,9.863,0.0,1.012,1.103,0.0,0.0,0.0,1.365,1.0,0.0,1.0,0.0,2.264,-0.025,0.0,0.0,0.95,0.0,2.0,0.0,0.0,4.025,2.358,0.0,8.859,0.0,2.0,0
5.098,3.1338,1.0,0.0,0.0,0.0,0.0,27.3,1.0,4.0,0.0,0.0,3.72,2.911,10.229,4.0,0.992,1.145,0.0,0.0,0.0,1.168,0.0,0.0,0.0,0.0,2.121,0.0,0.0,10.364,6.651,0.0,0.0,0.0,2.0,4.45,2.459,0.0,9.153,0.0,0.0,1
5.003,2.9132,0.0,0.0,0.0,0.0,3.0,52.4,1.0,0.0,0.0,0.0,3.338,0.629,10.084,0.0,0.972,1.099,0.0,0.0,0.0,1.349,3.0,0.0,0.0,0.0,2.351,0.004,0.0,0.0,1.075,0.0,0.0,0.0,0.0,3.873,1.909,0.0,8.471,0.0,0.0,0
5.286,3.4146,0.0,0.0,6.0,0.0,0.0,27.3,3.0,6.0,9.0,-2.66,3.792,1.622,10.617,12.0,1.048,1.159,0.0,0.0,0.0,1.111,1.0,0.0,0.0,0.0,2.458,0.0,0.0,35.324,1.615,0.0,0.0,3.0,3.0,3.783,3.278,3.0,8.66,0.0,0.0,0
4.236,3.0785,0.0,0.0,0.0,0.0,0.0,33.3,1.0,2.0,0.0,-0.664,3.764,3.284,9.867,2.0,0.975,1.138,0.0,0.0,0.0,1.199,0.0,0.0,0.0,0.0,1.993,0.0,0.0,10.324,8.066,0.0,0.0,0.0,1.0,3.329,2.083,0.0,8.257,0.0,0.0,1
4.386,3.408,0.0,0.0,0.0,0.0,0.0,32.5,2.0,4.0,0.0,-0.09,4.167,3.774,10.379,8.0,0.98,1.14,0.0,0.0,0.0,1.186,0.0,0.0,0.0,0.0,2.068,0.0,0.0,23.377,10.97,0.0,0.0,0.0,0.0,3.376,2.044,0.0,8.67,0.0,0.0,1
5.718,2.1601,3.0,0.0,3.0,0.0,3.0,45.7,0.0,0.0,0.0,0.951,4.802,1.11,11.097,0.0,0.977,1.09,0.0,0.0,0.0,1.471,3.0,0.0,0.0,0.0,2.527,0.0,0.0,0.0,1.942,0.0,0.0,0.0,0.0,10.349,1.943,1.0,14.03,0.0,0.0,0
5.201,3.8748,0.0,0.0,2.0,0.0,3.0,40.0,0.0,6.0,3.0,-3.157,3.707,1.254,10.498,12.0,1.092,1.129,0.0,1.0,0.0,1.174,1.0,0.0,0.0,0.0,2.404,-0.001,0.0,42.199,1.609,0.0,1.0,2.0,2.0,3.94,3.756,1.0,8.937,0.0,0.0,0
4.901,2.5104,2.0,0.0,1.0,0.0,5.0,48.0,0.0,3.0,2.0,0.0,4.028,0.946,10.601,8.0,1.051,1.107,0.0,1.0,0.0,1.295,2.0,0.0,1.0,0.0,2.329,0.0,0.0,20.982,3.43,0.0,5.0,2.0,0.0,4.016,2.781,1.0,9.395,0.0,2.0,0
3.732,2.6724,0.0,0.0,0.0,0.0,0.0,20.0,1.0,2.0,0.0,0.0,2.616,1.585,8.16,1.0,1.019,1.172,0.0,0.0,0.0,1.024,0.0,0.0,0.0,0.0,1.802,-0.247,0.0,0.0,2.488,0.0,0.0,1.0,3.0,2.938,3.167,1.0,6.799,0.0,0.0,1
4.235,2.7848,0.0,0.0,0.0,0.0,0.0,29.6,2.0,1.0,0.0,0.0,2.946,1.975,9.118,1.0,0.973,1.146,0.0,0.0,0.0,1.168,0.0,0.0,0.0,0.0,1.962,0.039,0.0,0.0,3.449,0.0,0.0,0.0,1.0,3.064,2.093,0.0,7.229,0.0,0.0,1
5.0,2.2838,0.0,0.0,6.0,0.0,4.0,41.5,0.0,0.0,8.0,0.556,3.887,1.048,10.745,0.0,0.982,1.128,0.0,0.0,0.0,1.281,2.0,0.0,0.0,0.0,2.358,0.0,0.0,0.0,3.585,0.0,2.0,6.0,1.0,3.796,2.067,3.0,8.919,0.0,0.0,0
3.879,3.1116,0.0,0.0,0.0,0.0,0.0,26.1,0.0,3.0,0.0,0.0,2.995,2.281,8.743,0.0,1.007,1.154,0.0,0.0,0.0,1.107,0.0,0.0,0.0,0.0,1.902,0.047,0.0,0.0,3.685,0.0,0.0,0.0,0.0,3.047,2.278,0.0,7.323,0.0,0.0,0
5.199,2.2119,0.0,3.0,10.0,0.0,5.0,46.4,1.0,1.0,12.0,0.0,3.826,0.604,10.853,2.0,1.006,1.12,0.0,0.0,0.0,1.301,7.0,0.0,0.0,3.0,2.726,0.0,0.0,0.0,2.47,0.0,2.0,10.0,1.0,4.403,2.137,3.0,9.363,0.0,0.0,0
5.075,2.4622,0.0,0.0,0.0,0.0,4.0,48.3,0.0,3.0,0.0,-0.203,3.768,0.922,10.518,9.0,1.01,1.108,0.0,0.0,0.0,1.263,2.0,0.0,0.0,0.0,2.369,0.0,0.0,12.066,2.847,0.0,2.0,0.0,1.0,3.827,2.52,0.0,8.828,0.0,0.0,0
5.072,2.9677,0.0,0.0,0.0,0.0,2.0,38.1,2.0,4.0,0.0,-0.942,3.863,2.341,10.435,12.0,1.001,1.129,0.0,0.0,0.0,1.206,1.0,0.0,0.0,0.0,2.351,0.0,0.0,23.889,4.023,0.0,0.0,0.0,0.0,3.794,2.433,0.0,8.737,2.0,0.0,1
4.17,2.8042,0.0,0.0,0.0,0.0,0.0,23.1,2.0,2.0,0.0,0.0,2.449,0.971,8.597,1.0,1.015,1.16,0.0,0.0,0.0,1.044,0.0,0.0,0.0,0.0,1.848,0.391,0.0,0.0,1.542,0.0,0.0,0.0,2.0,3.047,3.367,0.0,6.782,0.0,0.0,1
4.961,2.4328,2.0,0.0,0.0,0.0,6.0,48.1,0.0,2.0,0.0,0.0,3.947,0.732,10.578,6.0,1.022,1.104,0.0,0.0,0.0,1.305,2.0,0.0,1.0,0.0,2.349,0.0,0.0,0.0,3.001,0.0,4.0,0.0,2.0,3.939,2.572,0.0,9.249,0.0,2.0,0
4.807,3.3499,2.0,0.0,1.0,0.0,3.0,42.9,0.0,0.0,2.0,0.0,3.453,0.881,9.833,0.0,1.029,1.117,0.0,0.0,0.0,1.334,1.0,0.0,1.0,0.0,2.246,-0.025,0.0,0.0,1.06,0.0,3.0,2.0,2.0,3.996,2.58,1.0,8.863,0.0,2.0,0
4.739,2.6454,0.0,0.0,2.0,0.0,1.0,39.1,0.0,2.0,1.0,-0.959,3.394,1.695,9.972,2.0,1.008,1.13,0.0,0.0,0.0,1.218,1.0,0.0,0.0,0.0,2.212,0.004,0.0,10.379,2.815,0.0,0.0,2.0,3.0,3.585,2.764,1.0,8.319,0.0,0.0,1
5.187,2.1504,0.0,0.0,0.0,0.0,0.0,43.5,1.0,3.0,0.0,0.666,3.507,0.773,10.68,8.0,1.017,1.118,0.0,0.0,0.0,1.256,6.0,0.0,0.0,0.0,2.597,-0.001,0.0,22.622,1.14,4.0,0.0,0.0,0.0,3.799,2.564,0.0,8.551,0.0,0.0,0
4.923,3.5053,0.0,0.0,1.0,0.0,2.0,41.2,1.0,2.0,3.0,0.0,3.278,1.185,9.911,4.0,1.024,1.127,0.0,1.0,0.0,1.254,1.0,0.0,0.0,0.0,2.267,0.015,0.0,20.455,1.563,0.0,1.0,2.0,0.0,3.854,2.933,1.0,8.499,0.0,0.0,0
4.828,3.3085,0.0,0.0,6.0,0.0,2.0,57.1,0.0,0.0,4.0,0.0,3.292,1.261,9.749,0.0,1.006,1.101,0.0,0.0,0.0,1.35,1.0,0.0,0.0,0.0,2.247,0.015,0.0,0.0,1.436,0.0,0.0,2.0,0.0,3.761,2.833,2.0,8.437,0.0,0.0,0
5.164,3.0492,0.0,0.0,1.0,0.0,0.0,26.7,2.0,6.0,1.0,-0.462,3.592,1.437,10.493,9.0,1.042,1.155,0.0,0.0,0.0,1.083,1.0,0.0,0.0,0.0,2.402,-0.001,0.0,10.741,2.081,0.0,0.0,3.0,5.0,3.551,3.256,1.0,8.338,0.0,0.0,1
4.739,2.5436,0.0,0.0,0.0,0.0,0.0,35.7,1.0,2.0,0.0,0.266,3.336,1.695,9.972,7.0,0.99,1.134,0.0,0.0,0.0,1.205,1.0,0.0,0.0,0.0,2.212,0.004,0.0,11.089,2.815,0.0,0.0,0.0,0.0,3.547,2.306,0.0,8.108,0.0,0.0,1
4.0,2.4305,1.0,0.0,0.0,0.0,0.0,27.3,2.0,0.0,0.0,0.0,3.494,0.811,8.318,0.0,0.979,1.137,0.0,0.0,0.0,1.386,0.0,1.0,0.0,0.0,1.732,-0.48,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.874,2.021,0.0,11.569,0.0,1.0,1
4.732,3.09,0.0,0.0,0.0,0.0,0.0,25.0,0.0,3.0,3.0,-2.406,3.185,0.881,9.803,6.0,1.107,1.177,0.0,0.0,0.0,1.126,1.0,0.0,0.0,0.0,2.236,-0.029,0.0,30.54,0.95,0.0,0.0,0.0,3.0,3.632,3.722,3.0,8.205,0.0,0.0,0
4.807,2.7734,2.0,0.0,0.0,0.0,0.0,26.3,0.0,0.0,4.0,1.008,3.352,0.881,9.833,0.0,0.994,1.131,0.0,0.0,0.0,1.334,1.0,0.0,0.0,0.0,2.246,-0.023,0.0,0.0,1.06,0.0,0.0,0.0,0.0,4.094,2.019,2.0,8.76,0.0,0.0,0
5.04,3.6112,0.0,0.0,1.0,0.0,2.0,41.2,0.0,4.0,3.0,-1.29,3.483,1.258,10.159,8.0,1.069,1.127,0.0,1.0,0.0,1.199,1.0,0.0,0.0,0.0,2.323,0.005,0.0,30.959,1.711,0.0,1.0,2.0,1.0,3.888,3.5,1.0,8.706,0.0,0.0,1
5.509,2.1816,3.0,0.0,0.0,0.0,2.0,48.0,0.0,0.0,0.0,0.0,3.897,0.648,10.62,0.0,0.989,1.084,0.0,0.0,0.0,1.449,2.0,0.0,1.0,0.0,2.404,0.0,0.0,0.0,2.451,0.0,2.0,0.0,0.0,4.592,2.15,0.0,9.532,0.0,2.0,0
5.04,3.8356,0.0,0.0,2.0,0.0,2.0,37.5,0.0,4.0,4.0,0.0,3.513,1.258,10.159,8.0,1.087,1.141,0.0,2.0,0.0,1.204,1.0,0.0,0.0,0.0,2.323,0.005,0.0,40.909,1.711,0.0,2.0,4.0,0.0,3.946,3.611,2.0,8.854,0.0,0.0,0
3.414,2.4719,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,0.0,0.0,2.263,1.0,7.408,1.0,0.998,1.146,0.0,0.0,0.0,1.141,0.0,0.0,0.0,0.0,1.618,-0.611,0.0,0.0,1.707,0.0,0.0,0.0,1.0,2.974,3.125,0.0,6.631,0.0,0.0,1
5.272,3.2017,2.0,0.0,2.0,0.0,2.0,36.0,0.0,3.0,2.0,0.0,3.817,1.754,10.523,8.0,1.022,1.114,0.0,0.0,0.0,1.321,1.0,0.0,0.0,0.0,2.307,-0.001,0.0,0.0,2.952,0.0,1.0,1.0,0.0,4.702,2.587,1.0,9.602,0.0,0.0,0
4.17,3.3821,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,2.0,0.56,2.559,0.971,8.597,0.0,0.987,1.133,0.0,0.0,0.0,1.332,0.0,0.0,0.0,0.0,1.848,0.401,0.0,0.0,1.542,0.0,0.0,1.0,0.0,3.452,3.033,1.0,7.564,0.0,0.0,1
4.372,3.4629,0.0,0.0,0.0,0.0,0.0,38.5,2.0,0.0,0.0,2.495,3.129,1.922,9.494,0.0,0.964,1.128,0.0,0.0,0.0,1.288,0.0,0.0,0.0,0.0,2.031,-0.023,0.0,0.0,3.412,0.0,0.0,0.0,0.0,3.363,2.033,0.0,7.909,0.0,0.0,1
4.962,2.3618,0.0,0.0,0.0,0.0,2.0,54.2,0.0,1.0,0.0,0.075,3.579,0.544,10.193,4.0,0.989,1.095,0.0,0.0,0.0,1.313,2.0,0.0,0.0,0.0,2.307,-0.001,0.0,11.846,2.627,0.0,0.0,0.0,0.0,3.755,2.286,0.0,8.63,0.0,0.0,0
4.923,3.5834,0.0,0.0,1.0,0.0,2.0,40.0,0.0,3.0,2.0,0.0,3.299,1.185,9.911,6.0,1.057,1.13,0.0,1.0,0.0,1.213,1.0,0.0,0.0,0.0,2.267,0.015,0.0,20.135,1.563,0.0,2.0,2.0,1.0,3.861,3.333,1.0,8.518,0.0,0.0,0
4.795,3.1901,0.0,0.0,2.0,0.0,3.0,38.5,2.0,2.0,1.0,-0.44,3.464,1.662,10.144,5.0,1.002,1.131,0.0,0.0,0.0,1.237,1.0,0.0,0.0,0.0,2.278,-0.002,0.0,10.87,2.609,0.0,1.0,0.0,1.0,3.724,2.436,1.0,8.46,0.0,0.0,0
5.265,3.3444,2.0,0.0,6.0,0.0,1.0,35.3,2.0,3.0,3.0,0.134,3.998,2.353,10.632,6.0,1.012,1.123,0.0,0.0,0.0,1.296,1.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,3.88,0.0,0.0,3.0,0.0,4.698,2.463,2.0,9.666,0.0,0.0,0
4.645,3.6462,0.0,0.0,4.0,0.0,0.0,23.1,0.0,2.0,4.0,-0.987,3.347,2.117,9.828,2.0,1.018,1.173,0.0,0.0,0.0,1.104,0.0,0.0,0.0,0.0,2.098,-0.008,0.0,10.217,4.049,0.0,0.0,3.0,7.0,3.432,3.097,4.0,8.143,0.0,0.0,1
5.003,2.9595,1.0,0.0,0.0,0.0,3.0,55.6,0.0,0.0,0.0,0.0,3.496,0.629,10.084,0.0,0.992,1.089,0.0,0.0,0.0,1.369,3.0,0.0,1.0,0.0,2.351,0.004,0.0,0.0,1.075,0.0,1.0,0.0,0.0,4.009,2.101,0.0,8.805,0.0,1.0,0
4.414,2.3717,0.0,0.0,0.0,0.0,0.0,29.4,1.0,2.0,0.0,0.0,2.789,1.203,9.209,1.0,1.004,1.147,0.0,0.0,0.0,1.141,1.0,0.0,0.0,0.0,2.152,-0.074,0.0,0.0,1.496,0.0,0.0,0.0,1.0,3.238,2.405,0.0,7.243,0.0,0.0,1
3.0,1.8205,0.0,0.0,0.0,0.0,0.0,22.2,2.0,1.0,0.0,0.0,1.926,0.918,6.594,0.0,0.998,1.162,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,1.414,0.826,0.0,0.0,1.333,0.0,0.0,0.0,1.0,2.651,3.167,0.0,5.86,0.0,0.0,1
5.299,1.7433,0.0,0.0,6.0,0.0,0.0,33.3,0.0,6.0,12.0,-1.781,3.969,0.61,10.903,12.0,1.044,1.146,0.0,0.0,0.0,1.126,4.0,0.0,0.0,0.0,2.505,0.0,0.0,37.083,1.91,0.0,0.0,3.0,0.0,3.801,2.643,3.0,9.054,0.0,0.0,0
4.562,3.7287,2.0,0.0,0.0,0.0,0.0,25.0,1.0,2.0,0.0,-1.21,3.184,0.918,9.184,0.0,1.134,1.142,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,2.0,-0.271,0.0,9.435,1.521,0.0,0.0,0.0,1.0,3.976,4.037,0.0,8.593,0.0,2.0,1
4.892,3.2952,0.0,0.0,2.0,0.0,2.0,36.7,2.0,3.0,1.0,-0.505,3.598,1.805,10.235,7.0,1.009,1.134,0.0,0.0,0.0,1.205,1.0,0.0,0.0,0.0,2.295,-0.001,0.0,11.03,2.809,0.0,2.0,0.0,1.0,3.712,2.456,1.0,8.522,0.0,0.0,0
5.236,3.8407,5.0,0.0,0.0,0.0,6.0,46.2,0.0,1.0,0.0,0.0,5.017,0.799,10.434,2.0,1.086,1.051,0.0,0.0,0.0,1.542,1.0,1.0,0.0,0.0,2.414,0.004,1.0,0.0,0.873,0.0,6.0,0.0,1.0,6.982,2.479,0.0,13.184,0.0,5.0,0
4.414,3.2496,0.0,0.0,1.0,0.0,0.0,38.5,0.0,0.0,3.0,0.0,2.883,0.802,9.183,0.0,0.998,1.141,0.0,0.0,0.0,1.253,1.0,0.0,0.0,0.0,2.101,-0.081,0.0,0.0,0.975,0.0,0.0,3.0,2.0,3.587,2.381,2.0,7.838,0.0,0.0,0
5.563,4.6158,0.0,0.0,9.0,1.0,6.0,33.3,5.0,6.0,12.0,0.0,4.018,1.153,11.151,12.0,1.044,1.146,0.0,3.0,0.0,1.214,1.0,0.0,0.0,0.0,2.546,0.0,0.0,67.469,1.406,0.0,3.0,6.0,0.0,4.092,3.298,3.0,9.375,0.0,0.0,0
4.75,2.0515,0.0,0.0,5.0,0.0,3.0,40.9,3.0,0.0,7.0,0.0,3.859,1.491,10.536,0.0,0.976,1.126,0.0,0.0,0.0,1.282,2.0,0.0,0.0,1.0,2.285,0.0,0.0,0.0,4.361,0.0,3.0,8.0,2.0,3.689,1.908,2.0,8.765,0.0,0.0,0
5.522,3.7026,0.0,0.0,0.0,3.0,4.0,36.7,9.0,1.0,0.0,0.0,3.769,1.131,11.278,4.0,0.971,1.131,0.0,0.0,0.0,1.265,1.0,0.0,0.0,0.0,2.491,0.0,0.0,0.0,1.648,0.0,1.0,0.0,1.0,3.876,2.022,0.0,8.78,0.0,0.0,0
4.985,2.5536,0.0,0.0,3.0,0.0,3.0,50.0,0.0,0.0,3.0,0.0,3.49,0.569,10.158,0.0,0.98,1.107,0.0,0.0,0.0,1.313,2.0,0.0,0.0,0.0,2.327,0.001,0.0,0.0,2.096,0.0,1.0,2.0,2.0,3.765,2.077,1.0,8.528,0.0,0.0,0
3.732,2.7566,0.0,0.0,0.0,0.0,0.0,25.0,2.0,2.0,0.0,0.0,2.597,1.585,8.16,0.0,1.005,1.156,0.0,0.0,0.0,1.077,0.0,0.0,0.0,0.0,1.802,-0.237,0.0,0.0,2.488,0.0,0.0,0.0,1.0,2.961,2.667,0.0,6.802,0.0,0.0,1
4.593,2.8754,0.0,0.0,1.0,0.0,1.0,42.1,1.0,1.0,2.0,-0.036,3.222,1.461,9.665,1.0,0.998,1.125,0.0,0.0,0.0,1.264,1.0,0.0,0.0,0.0,2.175,0.014,0.0,10.502,2.298,0.0,1.0,3.0,1.0,3.599,2.483,1.0,8.187,0.0,0.0,1
4.596,3.1791,0.0,0.0,2.0,0.0,2.0,37.5,0.0,0.0,4.0,0.0,2.997,0.875,9.54,0.0,0.991,1.14,0.0,0.0,0.0,1.254,1.0,0.0,0.0,0.0,2.175,0.045,0.0,0.0,1.069,0.0,2.0,4.0,4.0,3.638,2.417,2.0,7.969,0.0,0.0,0
3.618,2.2408,0.0,0.0,1.0,0.0,0.0,25.0,2.0,0.0,1.0,0.0,2.359,1.522,7.853,0.0,0.97,1.161,0.0,0.0,0.0,1.133,0.0,0.0,0.0,0.0,1.732,0.323,0.0,0.0,2.094,0.0,0.0,1.0,2.0,2.811,2.1,1.0,6.385,0.0,0.0,1
5.416,2.4805,1.0,0.0,3.0,0.0,7.0,51.9,0.0,3.0,3.0,-0.735,4.305,0.73,10.964,11.0,1.031,1.097,0.0,0.0,0.0,1.309,6.0,1.0,0.0,0.0,2.551,0.0,1.0,24.769,1.407,0.0,3.0,2.0,3.0,6.88,2.724,1.0,11.646,0.0,1.0,0
5.449,3.493,0.0,0.0,0.0,3.0,3.0,37.5,9.0,0.0,0.0,0.0,3.705,1.162,11.208,0.0,0.964,1.13,0.0,0.0,0.0,1.28,1.0,0.0,0.0,0.0,2.449,0.0,0.0,0.0,1.726,0.0,0.0,0.0,0.0,3.814,1.819,0.0,8.693,0.0,0.0,0
4.0,2.8657,3.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,3.134,0.811,8.318,0.0,1.148,1.132,0.0,0.0,0.0,1.376,0.0,0.0,0.0,0.0,1.732,-0.636,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.118,3.417,0.0,8.732,0.0,3.0,0
4.88,1.8312,0.0,0.0,1.0,0.0,1.0,40.0,0.0,2.0,4.0,0.0,3.6,0.0,10.272,0.0,0.998,1.127,0.0,0.0,0.0,1.195,3.0,0.0,0.0,0.0,2.375,0.0,0.0,0.0,2.221,0.0,1.0,4.0,0.0,3.627,1.956,1.0,8.602,0.0,0.0,0
